Gene Family	AA_combined_Abundance-RPKs	B1_combined_Abundance-RPKs	C1_combined_Abundance-RPKs	D1_combined_Abundance-RPKs	E1_combined_Abundance-RPKs	F1_combined_Abundance-RPKs	Category	Gene_Short	log2FC
K07897	2.19927	1.15236	3.74932	6.75133	6.15727	7.18466	Immune_Cytoskeleton	RAB7A	0.7156618696508488
K02145	2.59443	1.02126	5.66606	8.32652	8.34888	9.58296	Immune_Lysosome	ATP6V1A	0.5592367943075873
K08339	3.1433	0.359296	5.29385	7.71967	8.10224	9.92649	Immune_Autophagy	ATG5	0.6140035032782533
K08337	3.00702	1.144933	5.71642	8.46274	9.18732	9.80747	Immune_Autophagy	ATG7	0.6845321605954554
K04646	3.16428	1.04815	6.27464	9.69285	9.33491	10.239	Immune_Endocytosis	CLTC	0.573103424563275
K01442	317.345	231.57059	247.367	197.4865	214.2428	157.1988814	Bile_Acid_Metabolism	BSH	-0.20740632949746934
K00850	103.141408	5.33702	62.7248	48.52817	60.94176	22.8247215	Acidification	pfk	-0.041604799857040034
K00016	116.578	5.81035	58.2773	35.6256	51.0599	0.226072	Acidification	ldh	-0.19074332631925936
K00925	88.6078	3.95154	45.6174	25.5709	39.7037	0.164195	Acidification	ack	-0.20031076260992178
K00156	0.0	0.256193	0.0	0.0	0.0	0.0	Acidification	pox	0.0
K01595	0.0753662	0.409277	0.0	0.0	0.0	0.0	Acidification	mle	0.0
K01621	0.0	1.327505	0.0	0.0	0.0	0.0	Acidification	xfp	0.0
K01580	2.73563	0.65736	6.55877	9.16593	9.01444	10.5293	Health_Associated	gadB	0.45881258632639166
K01556	3.07923	0.737869	5.97552	8.70005	8.74296	9.21686	Health_Associated	kynU	0.5490575341008868
K13727	0.0471497	0.541003	0.0	0.0	0.0	0.0	Phytochemical	pad1	0.0
K00626	1.87146	0.56289	4.03391	5.00849	4.73806	6.87646	Aroma_Flavor	atf1	0.23211757153727036
K00830	2.34322	0.947532	4.74482	7.15973	6.99288	7.05274	Aroma_Flavor	aro8	0.5595333901553081
K01652	3.688745	1.860319	6.6557	10.5871	10.091	11.5207	Aroma_Flavor	als	0.6004068381368919
K01478	0.0	153.141	65.7164	75.4263	59.9746	113.583	Stress_Tolerance	arcA	-0.13190181988487912
K04564	9.91817	3.91225	18.27529	31.69666	27.41778	32.39073	Stress_Tolerance	sodA	0.5852174620788417
K03781	6.36859	1.98402	13.3353	20.42897	18.93149	21.7471	Stress_Tolerance	kat	0.5055376814637618
K00384	107.1324	6.3013	58.20154	48.22159	60.89782	18.0593614	Stress_Tolerance	trxB	0.06533325690203574
K00796	41.3979994	1.89009	21.5186	11.8605	18.0649	0.0454418	Vitamin	folP	-0.2523949505887067
K01495	148.08927999999997	7.010361	82.79777	51.76119	73.79851	9.664477	Vitamin	ribA	-0.16600022359788405
K03143	1.64742	0.562962	2.61936	4.97522	4.53356	4.48204	Vitamin	thiC	0.7914300237010137
K00833	2.87677	1.2576	5.51006	8.87592	7.2527	8.82137	Vitamin	bioA	0.3964501459380591
